id	qrCode	productName	category	brand	modelNumber	serialNumber	rentalPrice
STLR-CAM-001	STLR-CAM-001	Sony A7M5	Camera	Sony	A7M5	4107955	2500
STLR-CAM-002	STLR-CAM-002	Sony A7M4	Camera	Sony	A7M4	8461511	2000
STLR-CAM-003	STLR-CAM-003	Sony A7M4	Camera	Sony	A7M4	8461499	2000
STLR-CAM-004	STLR-CAM-004	Sony A7M4	Camera	Sony	A7M4	8462525	2000
STLR-CAM-005	STLR-CAM-005	Sony A7M4	Camera	Sony	A7M4	8432741	2000
STLR-CAM-006	STLR-CAM-006	Sony A7M4	Camera	Sony	A7M4	8461692	2000
STLR-CAM-007	STLR-CAM-007	Sony A7M4	Camera	Sony	A7M4	8462520	2000
STLR-CAM-008	STLR-CAM-008	Sony A7M4	Camera	Sony	A7M4	7225471	2000
STLR-CAM-009	STLR-CAM-009	Sony A7M4	Camera	Sony	A7M4	8459699	2000
STLR-CAM-010	STLR-CAM-010	Sony A7M4	Camera	Sony	A7M4	8444281	2000
STLR-CAM-011	STLR-CAM-011	Sony A7M4	Camera	Sony	A7M4	8462526	2000
STLR-CAM-012	STLR-CAM-012	Sony A7M4	Camera	Sony	A7M4	8432769	2000
STLR-CAM-013	STLR-CAM-013	Sony A7M3	Camera	Sony	A7M3	8425693	1500
STLR-CAM-014	STLR-CAM-014	Sony A7M3	Camera	Sony	A7M3	5672831	1500
STLR-CAM-013	STLR-CAM-013	Conon EOS R 	Camera	Canon	EOS R	252027000897	1500
STLR-CAM-014	STLR-CAM-014	Canon EOS R6	Camera	Canon	EOS R6 M1	DS126832	1500
STLR-CAM-015	STLR-CAM-015	Insta360 X5 8K 360 Action Camera	Camera	Insta360	Insta360 X5	STLRI360X5001	700
STLR-CAM-016	STLR-CAM-016	Iphone 17Pro 	Camera	Apple	Iphone 17Pro (Blue)	STLRI17001	800
STLR-CAM-017	STLR-CAM-017	Iphone 17Pro 	Camera	Apple	Iphone 17Pro (White)	STLRI17002	800
STLR-GBL-001	STLR-GBL-001	DJI RS5	Gimbal	DJI	RS5	STLRRS005	1200
STLR-GBL-002	STLR-GBL-002	DJI RS4	Gimbal	DJI	RS4	STLRRS0401	800
STLR-GBL-003	STLR-GBL-003	DJI RS4	Gimbal	DJI	RS4	STLRRS0402	800
STLR-GBL-004	STLR-GBL-004	DJI RS4	Gimbal	DJI	RS4	STLRRS0403	800
STLR-GBL-005	STLR-GBL-005	DJI RS4	Gimbal	DJI	RS4 	STLRRS0404	800
STLR-GBL-006	STLR-GBL-006	DJI RS2 PRO	Gimbal	DJI	RS 2 PRO	STLRRS0201	800
STKR-GBL-007	STKR-GBL-007	Insta Flow 3 Mobile Gimbal	Gimbal	Insta360	Flow 3	STLRIF3001	600
STLR-LNS-00	STLR-LNS-001	GM 24-70MM F2.8	Lens	G-Master	24-70mm f2.8	STLGM2470	800
STLR-LNS-002	STLR-LNS-002	GM 85MM F1.4	Lens	G-Master	85MM F1.4	STLGM8500	800
STLR-LNS-003	STLR-LNS-003	GM 35MM F1.4	Lens	G-Master	35MM F1.4	STLGM3500	800
STLR-LNS-004	STLR-LNS-004	GM 50MM F1.4	Lens	G-Master	50MM F1.4	STLGM5000	800
STLR-LNS-005	STLR-LNS-005	GM 24MM F1.4	Lens	G-Master	24MM F1.4	STLGM2400	800
STLR-LNS-006	STLR-LNS-006	G 20MM F1.8	Lens	G	20MM F1.8	STLGM2000	800
STLR-LNS-007	STLR-LNS-007	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85001	800
STLR-LNS-008	STLR-LNS-008	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85002	800
STLR-LNS-009	STLR-LNS-009	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85003	800
STLR-LNS-0010	STLR-LNS-0010	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85004	800
STLR-LNS-011	STLR-LNS-011	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85005	800
STLR-LNS-012	STLR-LNS-012	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85006	800
STLR-LNS-013	STLR-LNS-013	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85007	800
STLR-LNS-014	STLR-LNS-014	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85008	800
STLR-LNS-015	STLR-LNS-015	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85009	800
STLR-LNS-016	STLR-LNS-016	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85010	800
STLR-LNS-017	STLR-LNS-017	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85011	800
STLR-LNS-018	STLR-LNS-018	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85012	800
STLR-LNS-019	STLR-LNS-019	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85013	800
STLR-LNS-020	STLR-LNS-020	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85014	800
STLR-LNS-021	STLR-LNS-021	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85015	800
STLR-LNS-022	STLR-LNS-022	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85016	800
STLR-LNS-023	STLR-LNS-023	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85017	800
STLR-LNS-024	STLR-LNS-024	Sigma 85MM F1.4 DGDN	Lens	Sigma	85MM F1.4	STLSGM85018	800
STLR-LNS-025	STLR-LNS-025	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35001	700
STLR-LNS-026	STLR-LNS-026	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35002	700
STLR-LNS-027	STLR-LNS-027	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35003	700
STLR-LNS-028	STLR-LNS-028	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35004	700
STLR-LNS-029	STLR-LNS-029	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35005	700
STLR-LNS-030	STLR-LNS-030	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35006	700
STLR-LNS-031	STLR-LNS-031	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35007	700
STLR-LNS-032	STLR-LNS-032	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35008	700
STLR-LNS-033	STLR-LNS-033	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35009	700
STLR-LNS-034	STLR-LNS-034	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35010	700
STLR-LNS-035	STLR-LNS-035	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35011	700
STLR-LNS-036	STLR-LNS-036	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35012	700
STLR-LNS-037	STLR-LNS-037	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35013	700
STLR-LNS-038	STLR-LNS-038	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35014	700
STLR-LNS-039	STLR-LNS-039	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35015	700
STLR-LNS-040	STLR-LNS-040	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35016	700
STLR-LNS-041	STLR-LNS-041	Sigma 35MM F1.4 DGDN	Lens	Sigma	35MM F1.4	STLSGM35017	700
STLR-LNS-036	STLR-LNS-036	Sigma 50MM F1.4 DGDN	Lens	Sigma	50MM F1.4	STLSGM50001	700
STLR-LNS-037	STLR-LNS-037	Sigma 50MM F1.4 DGDN	Lens	Sigma	50MM F1.4	STLSGM50002	700
STLR-LNS-038	STLR-LNS-038	Sigma 50MM F1.4 DGDN	Lens	Sigma	50MM F1.2	STLSGM50001	800
STLR-LNS-039	STLR-LNS-039	Sigma 24MM F1.4 DGDN	Lens	Sigma	24MM F1.4	STLSGM24001	800
STLR-LNS-040	STLR-LNS-040	Samyang V-AF 75mm T1.9	Lens	Samyang	75MM T1.9	STLSVAF75001	500
STLR-LNS-041	STLR-LNS-041	Samyang V-AF 35mm T1.9	Lens	Samyang	35MM T1.9	STLSVAF35001	500
STLR-LNS-042	STLR-LNS-042	Samyang V-AF 24mm T1.9	Lens	Samyang	24MM T1.9	STLSVAF24001	500
STLR-LNS-043	STLR-LNS-043	Samyang 85MM F1.4	Lens	Samyang	85MM F1.4	STLSMYG8501	500
STLR-LNS-044	STLR-LNS-044	Samyang 35MM F1.4	Lens	Samyang	35MM F1.8	STLSMYG3501	500
STLR-LNS-045	STLR-LNS-045	Zeiss Bats 85MM F1.4	Lens	Zeiss	85MM F1.8	STLZB85001	500
STLR-LNS-046	STLR-LNS-046	Laowa 12MM F2.8 Zero D 	Lens	Laowa	12MM f2.8 Zero D	STLLAW1201	1000
STLR-LNS-047	STLR-LNS-047	Canon Sigma 24MM F1.4 DG	Lens	Sigma	C 24MM F1.4	STLCSGM2401	600
STLR-LNS-048	STLR-LNS-048	Canon Sigma 50MM F1.4 DG	Lens	Sigma	C 50MM F1.4	STLCSGM5001	700
STLR-LNS-001	STLR-LNS-001	Canon Sigma 35MM F1.4 DG	Lens	Sigma	C 35MM F1.4	STLCSGM3501	600
STLR-LNS-002	STLR-LNS-002	Canon Sigma 85MM F1.4 DG	Lens	Sigma	C 85MM F1.4	STLCSGM8501	700
STLR-LNS-003	STLR-LNS-003	Canon 85MM F1.2 USM	Lens	Canon	C 85MM F1.2	STLCN851201	800
STLR-LNS-004	STLR-LNS-004	Tamaron 45MM F1.8	Lens	Tamaron	45MM F1.8	STLCT4501	500
STLR-LNS-005	STLR-LNS-005	Tamaron 24-70MM F2.8	Lens	Tamaron	C 24-70MM F2..8	STLCT247001	700
STLR-LNS-006	STLR-LNS-006	Canon 16-35MM F2.8	Lens	Canon	C 16-35MM F2.8 USM	STLCN163501	600
STLR-LNS-007	STLR-LNS-007	Canon 70-200MM F2.8	Lens	Canon	C 70-200MM F2.8 USM	STLCN7020001	700
STLR-LNS-008	STLR-LNS-008	Canon 100MM F2.8	Lens	Canon	C 100MM Macro USM	STLCN10001	500
STLR-LNS-009	STLR-LNS-009	Canon 40MM F2.8 STM	Lens	Canon 	C 40MM Macro F2.8	STLCN40281	400
STLR-LIT-010	STLR-LIT-010	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC001	300
STLR-LIT-011	STLR-LIT-011	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC002	300
STLR-LIT-012	STLR-LIT-012	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC003	300
STLR-LIT-013	STLR-LIT-013	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC004	300
STLR-LIT-014	STLR-LIT-014	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC005	300
STLR-LIT-015	STLR-LIT-015	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC006	300
STLR-LIT-016	STLR-LIT-016	 Godox LC 500R 	Light	Godox 	LC 500R	STLGLC007	300
STLR-LIT-017	STLR-LIT-017	Godox LC 500R Mini	Light	Godox 	LC 500R Mini	STLGLCM01	300
STLR-LIT-018	STLR-LIT-018	Godox LC 500R Mini	Light	Godox 	LC 500R Mini	STLGLCM02	300
STLR-LIT-019	STLR-LIT-019	Godox TL60	Light	Godox 	TL 60	STLGTL60001	200
STLR-LIT-020	STLR-LIT-020	Godox SL 200	Light	Godox 	SL 200 	STLGSL20001	700
STLR-LIT-021	STLR-LIT-021	Godox SL 150	Light	Godox 	SL 150	STLGSL15001	700
STLR-LIT-022	STLR-LIT-022	Godox AD 400 Pro	Light	Godox 	AD 400	STLGAD40001	600
STLR-LIT-023	STLR-LIT-023	Godox AD 300 Pro	Light	Godox 	AD 300	STLGAD30001	500
STLR-LIT-024	STLR-LIT-024	Godox AD 300 Pro	Light	Godox 	AD 300	STLGAD30002	500
STLR-LIT-025	STLR-LIT-025	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20001	400
STLR-LIT-026	STLR-LIT-026	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20002	400
STLR-LIT-027	STLR-LIT-027	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20003	400
STLR-LIT-028	STLR-LIT-028	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20004	400
STLR-LIT-029	STLR-LIT-029	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20005	400
STLR-LIT-030	STLR-LIT-030	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20006	400
STLR-LIT-031	STLR-LIT-031	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20007	400
STLR-LIT-032	STLR-LIT-032	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20008	400
STLR-LIT-033	STLR-LIT-033	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20009	400
STLR-LIT-034	STLR-LIT-034	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD2010	400
STLR-LIT-035	STLR-LIT-035	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20011	400
STLR-LIT-036	STLR-LIT-036	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20012	400
STLR-LIT-037	STLR-LIT-037	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20013	400
STLR-LIT-038	STLR-LIT-038	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20014	400
STLR-LIT-039	STLR-LIT-039	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20015	400
STLR-LIT-040	STLR-LIT-040	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20016	400
STLR-LIT-041	STLR-LIT-041	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20017	400
STLR-LIT-042	STLR-LIT-042	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20018	400
STLR-LIT-043	STLR-LIT-043	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20019	400
STLR-LIT-044	STLR-LIT-044	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20020	400
STLR-LIT-045	STLR-LIT-045	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20021	400
STLR-LIT-046	STLR-LIT-046	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20022	400
STLR-LIT-047	STLR-LIT-047	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20023	400
STLR-LIT-048	STLR-LIT-048	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20024	400
STLR-LIT-049	STLR-LIT-049	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20025	400
STLR-LIT-050	STLR-LIT-050	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20026	400
STLR-LIT-051	STLR-LIT-051	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20027	400
STLR-LIT-052	STLR-LIT-052	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20028	400
STLR-LIT-053	STLR-LIT-053	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20029	400
STLR-LIT-054	STLR-LIT-054	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20030	400
STLR-LIT-055	STLR-LIT-055	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20030	400
STLR-LIT-056	STLR-LIT-056	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20030	400
STLR-LIT-057	STLR-LIT-057	Godox AD 200 Pro	Light	Godox 	AD 200 	STLGAD20030	400
STLR-LIT-058	STLR-LIT-058	Godox Ring Light 	Light	Godox 	Ring Light 	STLGRL15001	300
STLR-LIT-059	STLR-LIT-059	Godox Ring Light 	Light	Godox 	Ring Light 	STLGRL15002	300
STLR-LIT-060	STLR-LIT-060	Simpex Video Light SET	Light	Simpex	Videolight	STLSVL1000201	500
STLR-LIT-061	STLR-LIT-061	Simpex Video Light	Light	Simpex	Videolight	STLSVL1000101	300
STLR-LIT-062	STLR-LIT-062	Weeylite RB08P RGB Light	Light	Weeylite	RGB PANEL	STLWRGBP001	300
STLR-LIT-063	STLR-LIT-063	Weeylite RB08P RGB Light	Light	Weeylite	RGB PANEL	STLWRGBP002	200
STLR-LMOD-001	STLR-LMOD-001	Standard Reflector ( Bowens Mount)	Light Modifier	Godox 	Standard Reflector	STLLMSR001	1
STLR-LMOD-002	STLR-LMOD-002	Standard Reflector ( Bowens Mount)	Light Modifier	Godox 	Standard Reflector	STLLMSR002	1
STLR-LMOD-003	STLR-LMOD-003	Standard Reflector ( Bowens Mount)	Light Modifier	Godox 	Standard Reflector	STLLMSR003	1
STLR-LMOD-004	STLR-LMOD-004	Snoot (Bowens Mount)}	Light Modifier	Godox 	Snoot	STLLMSNT001	100
STLR-LMOD-005	STLR-LMOD-005	Parabola 90CM Beauty dish	Light Modifier	 N Glow Pro	Parabola 90	STLPRBLA9001	500
STLR-LMOD-006	STLR-LMOD-006	Parabola 90CM Beauty dish	Light Modifier	 N Glow Pro	Parabola 90	STLPRBLA9002	500
